p,n_scc,largest_scc
0.000000, 10000, 1
0.000001, 10000, 1
0.000002, 10000, 1
0.000003, 10000, 1
0.000004, 10000, 1
0.000005, 10000, 1
0.000006, 10000, 1
0.000007, 10000, 1
0.000008, 10000, 1
0.000009, 10000, 1
0.000010, 10000, 1
0.000011, 10000, 1
0.000012, 10000, 1
0.000013, 10000, 1
0.000014, 10000, 1
0.000015, 10000, 1
0.000016, 10000, 1
0.000017, 10000, 1
0.000018, 9999, 2
0.000019, 10000, 1
0.000020, 10000, 1
0.000021, 10000, 1
0.000022, 10000, 1
0.000023, 10000, 1
0.000024, 10000, 1
0.000025, 10000, 1
0.000026, 10000, 1
0.000027, 10000, 1
0.000028, 10000, 1
0.000029, 10000, 1
0.000030, 10000, 1
0.000031, 10000, 1
0.000032, 10000, 1
0.000033, 10000, 1
0.000034, 10000, 1
0.000035, 10000, 1
0.000036, 10000, 1
0.000037, 10000, 1
0.000038, 10000, 1
0.000039, 10000, 1
0.000040, 10000, 1
0.000041, 10000, 1
0.000042, 10000, 1
0.000043, 10000, 1
0.000044, 10000, 1
0.000045, 10000, 1
0.000046, 10000, 1
0.000047, 10000, 1
0.000048, 10000, 1
0.000049, 10000, 1
0.000050, 10000, 1
0.000051, 10000, 1
0.000052, 10000, 1
0.000053, 10000, 1
0.000054, 10000, 1
0.000055, 10000, 1
0.000056, 9999, 2
0.000057, 10000, 1
0.000058, 9999, 2
0.000059, 10000, 1
0.000060, 10000, 1
0.000061, 10000, 1
0.000062, 9998, 2
0.000063, 9999, 2
0.000064, 10000, 1
0.000065, 10000, 1
0.000066, 10000, 1
0.000067, 10000, 1
0.000068, 10000, 1
0.000069, 9999, 2
0.000070, 9998, 3
0.000071, 9999, 2
0.000072, 9992, 7
0.000073, 10000, 1
0.000074, 9997, 4
0.000075, 10000, 1
0.000076, 9999, 2
0.000077, 9999, 2
0.000078, 9987, 11
0.000079, 10000, 1
0.000080, 10000, 1
0.000081, 10000, 1
0.000082, 10000, 1
0.000083, 10000, 1
0.000084, 10000, 1
0.000085, 9998, 2
0.000086, 9999, 2
0.000087, 9999, 2
0.000088, 10000, 1
0.000089, 9995, 4
0.000090, 10000, 1
0.000091, 9994, 7
0.000092, 9997, 4
0.000093, 10000, 1
0.000094, 9988, 9
0.000095, 9973, 19
0.000096, 9971, 18
0.000097, 9983, 17
0.000098, 10000, 1
0.000099, 9930, 38
0.000100, 9894, 93
0.000101, 9985, 7
0.000102, 9974, 13
0.000103, 9824, 107
0.000104, 9993, 8
0.000105, 9901, 68
0.000106, 9859, 131
0.000107, 9626, 332
0.000108, 9766, 222
0.000109, 9484, 506
0.000110, 9783, 218
0.000111, 9785, 204
0.000112, 9837, 137
0.000113, 9852, 149
0.000114, 9332, 666
0.000115, 9375, 626
0.000116, 9196, 794
0.000117, 9221, 773
0.000118, 9102, 896
0.000119, 9128, 873
0.000120, 8911, 1090
0.000121, 8995, 1006
0.000122, 8877, 1120
0.000123, 9060, 931
0.000124, 8429, 1566
0.000125, 8273, 1725
0.000126, 8332, 1668
0.000127, 8646, 1347
0.000128, 8659, 1335
0.000129, 8433, 1568
0.000130, 8218, 1780
0.000131, 8061, 1933
0.000132, 7885, 2116
0.000133, 7931, 2068
0.000134, 7533, 2468
0.000135, 7965, 2035
0.000136, 7796, 2205
0.000137, 7486, 2515
0.000138, 7914, 2087
0.000139, 7476, 2525
0.000140, 7316, 2685
0.000141, 7166, 2835
0.000142, 7258, 2739
0.000143, 7229, 2771
0.000144, 6826, 3169
0.000145, 7106, 2893
0.000146, 6786, 3215
0.000147, 6975, 3026
0.000148, 6724, 3277
0.000149, 6319, 3682
0.000150, 6521, 3480
0.000151, 6611, 3389
0.000152, 6411, 3576
0.000153, 6485, 3516
0.000154, 6379, 3617
0.000155, 6026, 3971
0.000156, 6096, 3904
0.000157, 6234, 3767
0.000158, 5813, 4188
0.000159, 6133, 3866
0.000160, 5792, 4209
0.000161, 5930, 4071
0.000162, 5772, 4229
0.000163, 5800, 4201
0.000164, 5425, 4576
0.000165, 5652, 4348
0.000166, 5592, 4409
0.000167, 5537, 4463
0.000168, 5279, 4722
0.000169, 5361, 4640
0.000170, 5246, 4755
0.000171, 5003, 4998
0.000172, 4908, 5093
0.000173, 4776, 5225
0.000174, 5176, 4824
0.000175, 4876, 5125
0.000176, 4852, 5148
0.000177, 4728, 5273
0.000178, 4730, 5271
0.000179, 4543, 5458
0.000180, 4489, 5512
0.000181, 4389, 5612
0.000182, 4737, 5264
0.000183, 4596, 5403
0.000184, 4401, 5600
0.000185, 4384, 5617
0.000186, 4345, 5656
0.000187, 4349, 5651
0.000188, 4014, 5987
0.000189, 4245, 5756
0.000190, 4136, 5865
0.000191, 4009, 5992
0.000192, 3991, 6010
0.000193, 3894, 6107
0.000194, 3802, 6199
0.000195, 3758, 6243
0.000196, 3813, 6188
0.000197, 3721, 6280
0.000198, 3635, 6366
0.000199, 3690, 6311
0.000200, 3635, 6366
0.000201, 3599, 6401
0.000202, 3573, 6427
0.000203, 3517, 6484
0.000204, 3390, 6611
0.000205, 3584, 6417
0.000206, 3449, 6552
0.000207, 3410, 6591
0.000208, 3388, 6613
0.000209, 3256, 6745
0.000210, 3299, 6702
0.000211, 3189, 6812
0.000212, 3175, 6826
0.000213, 3114, 6887
